epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2892.5,1.96527,5.36777,1.16127,0.65388,0.43032,0.46601,0.25031,2.03541,4.32554,1.1952,0.00332562,0.00332562,0.00332562
2,3075.86,2.01707,2.54563,1.19845,0.63416,0.32778,0.36009,0.16329,2.42428,2.72421,1.3476,0.00659303,0.00659303,0.00659303
3,3254.32,2.16288,2.29122,1.30625,0.60964,0.3,0.33748,0.15307,2.3571,3.97536,1.38822,0.00979444,0.00979444,0.00979444
4,3432.69,2.20579,2.16859,1.38016,0.65695,0.29791,0.32634,0.17914,2.45347,3.75182,1.431,0.009703,0.009703,0.009703
5,3608.86,2.14763,1.97548,1.35527,0.65664,0.36111,0.40305,0.20838,2.46229,2.76022,1.51585,0.009604,0.009604,0.009604
6,3785.01,2.08693,1.82529,1.32538,0.60379,0.4,0.44839,0.24767,2.28918,2.78925,1.38906,0.009505,0.009505,0.009505
7,3962.21,2.02099,1.71469,1.30928,0.55048,0.33336,0.37127,0.19436,2.27705,2.85922,1.37736,0.009406,0.009406,0.009406
8,4139.49,2.00591,1.72035,1.29294,0.81561,0.39318,0.47391,0.2502,2.15992,2.4705,1.37794,0.009307,0.009307,0.009307
9,4315.49,1.89898,1.605,1.23943,0.60713,0.40556,0.4414,0.23317,2.25683,2.76578,1.42697,0.009208,0.009208,0.009208
10,4491.52,1.93492,1.61103,1.25912,0.84062,0.4,0.52174,0.28229,2.15112,2.32978,1.30013,0.009109,0.009109,0.009109
11,4665.95,1.88976,1.53399,1.20645,0.71427,0.45832,0.51218,0.26269,2.21024,2.78185,1.41715,0.00901,0.00901,0.00901
12,4841.56,1.86563,1.50994,1.21584,0.66487,0.46111,0.53405,0.27878,2.21016,3.44331,1.35653,0.008911,0.008911,0.008911
13,5016.59,1.86698,1.48469,1.20696,0.7046,0.46111,0.53754,0.2689,2.07907,2.1193,1.2941,0.008812,0.008812,0.008812
14,5192.29,1.8624,1.46847,1.20627,0.65626,0.48333,0.5262,0.27459,1.95252,2.63,1.24272,0.008713,0.008713,0.008713
15,5369.58,1.82171,1.4184,1.19425,0.73771,0.48439,0.55264,0.29949,2.06911,2.3094,1.33655,0.008614,0.008614,0.008614
16,5546.95,1.83239,1.40084,1.19215,0.70134,0.52778,0.58573,0.32191,2.05833,2.33856,1.33787,0.008515,0.008515,0.008515
17,5722.74,1.78089,1.34451,1.1798,0.81871,0.50178,0.60139,0.33106,2.13186,2.38011,1.3445,0.008416,0.008416,0.008416
18,5898.41,1.78254,1.35282,1.1752,0.65244,0.52778,0.59043,0.32777,1.99874,2.13983,1.28424,0.008317,0.008317,0.008317
19,6074.46,1.80521,1.36329,1.17236,0.788,0.53692,0.60443,0.3215,2.03565,1.96545,1.25617,0.008218,0.008218,0.008218
